number,hhid,region,mpi_status,protected_exposure_5km,protected_exposure_10km,protected_exposure_15km,head_sex,head_age,marital_status,hsize,working_rate,distance_from_nearest_city_km,hfi_2016,elevation_km,slope_o,tourism_exposure,pub_lat_mod
2,H0010201,Central,1,0,0,0,1,47,1,2,0,35.0320342,23.1993351,1219.4375,2.142354965,0,-0.13614796
5,H0020801,Central,0,0.000400509,0.001180902,0.031247438,0,76,0,4,0,1.225634602,38.15395737,1208.8125,3.665323496,221,0.33318767
6,H0020901,Central,0,0.000400509,0.001180902,0.031247438,1,44,1,3,0.666666667,1.225634602,38.15395737,1208.8125,3.665323496,221,0.33318767
7,H0021101,Central,0,0.000400509,0.001180902,0.031247438,0,52,0,7,0.571428571,1.225634602,38.15395737,1208.8125,3.665323496,221,0.33318767
8,H0021301,Central,0,0.00195359,0.016557287,0.012775458,0,52,1,3,0.666666667,4.195194344,20.00165367,1193.5,1.644522071,9,3.0422647
9,H0030101,Central,0,0.00018088,0.001121793,0.030934696,0,46,0,5,0.333333333,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
10,H0030201,Central,0,0.00018088,0.001121793,0.030934696,0,48,1,2,0,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
11,H0030301,Central,0,0.00018088,0.001121793,0.030934696,1,64,1,6,0,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
12,H0030401,Central,1,0.00018088,0.001121793,0.030934696,0,41,1,1,1,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
13,H0030701,Central,1,0.00018088,0.001121793,0.030934696,1,44,0,5,0,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
14,H0031201,Central,1,0.00018088,0.001121793,0.030934696,1,53,1,4,0,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
15,H0031301,Central,0,0.00018088,0.001121793,0.030934696,0,56,0,5,0.25,1.279170597,38.28864288,1173.0625,2.915644646,230,0.31304476
16,H0060601,Central,0,0,0.005969061,0.037405008,0,51,0,4,0.333333333,6.448708519,38.00004578,1198.75,3.462582111,125,0.37804905
17,H0070401,Central,0,0,0.000240297,0.017154105,0,48,0,7,0.2,5.467932461,38.02521515,1231.25,3.621601105,96,0.371429
18,H0070701,Central,0,0,0.000240297,0.017154105,1,52,0,5,0.25,5.467932461,38.02521515,1231.25,3.621601105,96,0.371429
19,H0071001,Central,0,0,0.000240297,0.017154105,0,54,0,7,0,5.467932461,38.02521515,1231.25,3.621601105,96,0.371429
20,H0071201,Central,0,0,0.000240297,0.017154105,0,63,0,4,0.333333333,5.467932461,38.02521515,1231.25,3.621601105,96,0.371429
22,H0080201,Central,0,0.00014429,0.01579061,0.038274233,0,57,0,3,0.5,5.264910128,38.00656128,1203.9375,2.297544718,157,0.36514077
23,H0080901,Central,0,0.00014429,0.01579061,0.038274233,0,47,0,6,0.333333333,5.264910128,38.00656128,1203.9375,2.297544718,157,0.36514077
24,H0081001,Central,0,0.00014429,0.01579061,0.038274233,1,59,0,6,0.333333333,5.264910128,38.00656128,1203.9375,2.297544718,157,0.36514077
25,H0081101,Central,0,0.00014429,0.01579061,0.038274233,0,41,0,6,0.333333333,5.264910128,38.00656128,1203.9375,2.297544718,157,0.36514077
26,H0120902,Central,0,0.000653463,0.045727888,0.051224697,0,26,0,4,0,5.892077478,38.23293304,1202.625,5.798360348,134,0.28927287
27,H0120903,Central,0,0,0.02475247,0.047502588,1,35,0,5,0,9.811514508,40.80531311,1171,4.693027973,47,0.24277423
28,H0120904,Central,0,0.000653463,0.045727888,0.051224697,0,25,0,2,0,5.892077478,38.23293304,1202.625,5.798360348,134,0.28927287
29,H0120905,Central,0,0.021539299,0.10376839,0.094566085,1,28,0,3,0.5,22.80208529,38.79891205,1187.3125,3.621614456,15,0.3694841
30,H0121001,Central,0,0.000653463,0.045727888,0.051224697,0,42,0,1,1,5.892077478,38.23293304,1202.625,5.798360348,134,0.28927287
31,H0140101,Central,0,0.001202581,0.062260407,0.051577983,0,34,1,2,0.333333333,5.440529296,49.0834465,1146.125,2.456207752,147,0.30322111
32,H0140201,Central,1,0.001202581,0.062260407,0.051577983,1,50,1,9,0.666666667,5.440529296,49.0834465,1146.125,2.456207752,147,0.30322111
33,H0140601,Central,0,0.001202581,0.062260407,0.051577983,0,52,1,7,0.5,5.440529296,49.0834465,1146.125,2.456207752,147,0.30322111
35,H0160401,Central,0,0.000653463,0.020926762,0.045674588,0,75,1,3,0,3.696143305,38.1488266,1202.5625,3.797909975,214,0.30165493
36,H0160501,Central,0,0.000653463,0.020926762,0.045674588,1,55,1,7,0.2,3.696143305,38.1488266,1202.5625,3.797909975,214,0.30165493
37,H0161201,Central,0,0.000653463,0.020926762,0.045674588,1,31,1,1,1,3.696143305,38.1488266,1202.5625,3.797909975,214,0.30165493
38,H0180101,Central,0,0,0.051072686,0.055355743,0,50,0,6,0,7.815825652,38.59849167,1177.0625,3.856314182,85,0.27318704
39,H0180601,Central,0,0,0.051072686,0.055355743,1,36,1,4,1,7.815825652,38.59849167,1177.0625,3.856314182,85,0.27318704
